"Coin","CurrentPrice","Time","DailyGain","DailyRating","DailyPosition","DailyVolume","60.0.Gain","60.0.Rating","60.0.Position","60.0.Volume","60.1.Gain","60.1.Rating","60.1.Position","60.1.Volume","60.Trajectory","60.VolumeIncrease","60.VolumePercent","3600.0.Gain","3600.0.Rating","3600.0.Position","3600.0.Volume","3600.1.Gain","3600.1.Rating","3600.1.Position","3600.1.Volume","3600.Trajectory","3600.VolumeIncrease","3600.VolumePercent","0.HourTrajectory","1.HourTrajectory","86400.0.Gain","86400.0.Rating","86400.0.Position","86400.0.Volume","86400.1.Gain","86400.1.Rating","86400.1.Position","86400.1.Volume","86400.Trajectory","86400.VolumeIncrease","86400.VolumePercent","0.DayTrajectory","1.DayTrajectory"
"TRB-USD","71.635","6/3/2021 6:33:42 AM","1.1334","2.2734","Middle","138881.544","0.9997","0","Bottom","316.78","0.9955","0.0215","Middle","70.132","0.0042","4.5169","0.0023","1.0115","0.3823","Middle","2267.199","0.9762","0.1208","Middle","7669.614","0.0353","0.2956","0.0163","0.0353","-0.0193","1.1132","2.3071","Middle","67986.943","1.0830","0.5542","Middle","102439.405","0.0302","0.6637","0.4895","-0.0235","-0.0875"
"UMA-USD","14.633","6/3/2021 7:03:36 AM","1.0281","1.5288","Middle","194514.247","1.0001","0.0182","Middle","51.444","1.0007","0.0007","Top","170.559","-0.0006","0.3016","0.0003","0.9998","0.4058","Middle","4123.137","0.9785","0.1824","Middle","7360.086","0.0213","0.5602","0.0212","0.0213","-0.0222","1.0421","1.5749","Middle","91071.794","1.0236","0.7910","Middle","208602.371","0.0185","0.4366","0.4682","-0.0216","-0.0229"
"CRV-USD","2.4539","6/3/2021 8:28:44 AM","1.0037","0.5708","Middle","11767616.89","1","0","Bottom","46.04","0.9999","0.0054","Middle","1290.52","0.0001","0.0357","0.0000","0.9939","0.0281","Middle","51817.22","0.9765","0.0587","Middle","266308.06","0.0174","0.1946","0.0044","0.0174","-0.0234","1.0457","0.4866","Middle","6914445.29","1.1382","0.8385","Middle","16861765.05","-0.0925","0.4101","0.5876","-0.0235","-0.1383"
"FIL-USD","76.0218","6/3/2021 8:29:03 AM","1.0704","2.4252","Middle","343239.8","0.9987","0.0651","Middle","1065.709","0.9999","0","Bottom","51.496","-0.0012","20.6950","0.0031","1.0068","0.1975","Middle","16610.528","0.9854","0.2183","Middle","41237.373","0.0214","0.4028","0.0484","0.0214","-0.0145","1.0860","2.4593","Middle","270217.924","1.0131","0.2202","Middle","218247.689","0.0729","1.2381","0.7873","-0.0133","-0.0132"
"FIL-USD","77.9914","6/3/2021 8:57:59 AM","1.0981","11.5419","Middle","368458.015","0.9950","0.0056","Middle","1159.977","0.9995","0.2799","Middle","1273.6","-0.0045","0.9108","0.0031","1.0320","3.1427","Middle","42614.178","0.9854","0.2183","Middle","41237.373","0.0466","1.0334","0.1157","0.0466","-0.0141","1.1126","10.2633","Middle","294795.998","1.0131","0.2202","Middle","218247.689","0.0995","1.3507","0.8001","-0.0096","-0.0136"
"NU-USD","0.3412","6/3/2021 9:27:12 AM","1.0573","0.9674","Middle","36458406.784229","1","0.0036","Middle","2553.868888","1.0104","0.1268","Middle","71161.537985","-0.0104","0.0359","0.0001","1.0062","0.2509","Middle","382032.494539","1.0098","0.2439","Middle","680969.33767","-0.0036","0.5610","0.0105","-0.0036","-0.0006","1.0663","0.9314","Middle","25390632.62631","1.0515","0.5103","Middle","17654847.200666","0.0148","1.4382","0.6964","0.0098","-0.0411"
"STORJ-USD","1.1664","6/3/2021 9:27:28 AM","1.0128","0.4486","Middle","8705891.94","0.9998","0","Bottom","51.27","1.0005","0.0062","Middle","4547.52","-0.0007","0.0113","0.0000","0.9983","0.0264","Middle","72568.97","0.9962","0.0757","Middle","354406.99","0.0021","0.2048","0.0083","0.0021","-0.0043","0.9804","0.2796","Middle","4096968.53","1.1262","2.0240","Middle","14615579.01","-0.1458","0.2803","0.4706","-0.0036","-0.1257"
"STORJ-USD","1.2151","6/3/2021 9:54:44 AM","1.0550","1.9031","Middle","9379733.3","1.0035","0.0984","Middle","12327.17","1.0005","0.0384","Middle","45252.02","0.0030","0.2724","0.0013","1.0470","1.4245","Middle","790809.69","0.9962","0.0757","Middle","354406.99","0.0508","2.2314","0.0843","0.0508","-0.0043","1.0185","1.4391","Middle","4787148.54","1.1262","2.0240","Middle","14615579.01","-0.1077","0.3275","0.5104","-0.0073","-0.1257"
"UMA-USD","14.711","6/3/2021 9:54:46 AM","1.0203","1.375","Middle","205134.966","0.9991","0","Bottom","30.822","1.0003","0.0130","Middle","42.466","-0.0012","0.7258","0.0002","0.9959","0.0016","Middle","13655.921","1.0065","0.1696","Middle","23578.255","-0.0106","0.5792","0.0666","-0.0106","0.0062","1.0465","1.3446","Middle","152390.524","1.0236","0.6744","Middle","208602.371","0.0229","0.7305","0.7429","0.0074","-0.0233"
"FIL-USD","83.3117","6/3/2021 9:54:56 AM","1.1650","6.0707","Middle","504615.199","1.0017","0.0764","Middle","828.662","1.0032","0.1299","Middle","1362.383","-0.0015","0.6082","0.0016","1.0678","2.6147","Middle","147932.745","1.0331","0.3337","Middle","44017.481","0.0347","3.3608","0.2932","0.0347","0.0299","1.1911","6.3733","Middle","445557.622","1.0131","0.1230","Middle","218247.689","0.1780","2.0415","0.8830","0.0314","-0.0099"
